Date,Year,Season,Slough,Site,Habitat,Method,Species,ID,Length (mm),Wet mass (g),Sex,Stomach Kept,Comments,Entered By,Checked By,Processed,-80 Freezer,Freeze Drier,Dried,Crushed,Isotope,Decarb
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG137,23.07,0.206,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG138,28.07,0.422,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG139,22.97,0.242,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG140,23.47,0.264,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG141,22.22,0.192,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG142,22.83,0.218,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG143,26.55,0.326,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG144,20.94,0.158,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG145,17.24,0.099,3,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG146,23.51,0.213,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG147,21.29,0.175,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
